Participant,Trial,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std
3,32,40.27830244,4,56.19386629,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0
3,33,11.4752932,2,66.03838905,1,0,0,1,0,1,0,1,0,0,1,2,1,2,2,0,0,0,0
3,34,8.895443237,1,69.09867493,0,1,1,1,0,0,1,1,0,0,1,2,1,1,1,0,1,1,0
3,35,52.04602876,5,41.87861051,1,1,0,1,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0
3,36,12.64034278,8,80.31715172,1,0,0,0,0,0,0,0,1,0,2,2,1,2,2,0,0,0,0
3,37,76.71870062,7,9.238803164,0,0,1,0,0,0,1,1,0,1,2,2,1,2,2,0,1,1,0
3,38,88.79940149,10,5.98752079,1,1,0,1,0,1,1,1,1,0,2,2,1,2,2,0,1,1,0
3,39,83.61521103,6,32.25636513,1,0,0,0,0,1,0,0,1,1,2,2,1,1,1,0,0,0,0
3,40,12.34624909,9,91.76919687,1,1,1,0,1,1,0,0,1,0,2,2,1,1,1,0,1,1,0
3,41,52.04850853,12,0.425388318,0,0,0,0,1,1,1,0,0,1,3,2,1,2,2,0,1,1,0
3,42,55.75843332,13,37.25995306,1,0,1,0,1,1,1,0,0,0,3,2,1,1,1,0,0,0,0
3,43,32.89566483,15,51.37085504,0,1,1,1,1,0,0,0,1,0,3,2,1,1,1,0,1,1,0
3,44,11.34629526,14,56.84575748,0,1,1,0,0,0,0,1,0,0,3,2,1,1,1,0,1,1,0
3,45,10.34419,11,78.38037251,1,1,0,1,0,0,0,0,0,0,3,2,1,1,1,0,1,1,0
3,46,46.35867525,4,82.33195332,1,0,0,1,0,1,0,0,0,0,1,3,1,1,1,0,1,1,0
3,47,99.57248405,1,4.746335739,0,0,1,0,0,1,0,1,1,1,1,3,1,2,2,0,1,1,0
3,48,97.59792844,2,22.46707083,1,0,0,0,0,0,0,1,1,1,1,3,1,2,2,0,1,1,0
3,49,87.39698246,5,7.280613839,0,0,1,0,1,0,0,0,0,1,1,3,1,1,1,0,0,0,0
3,50,8.158452162,3,75.49090581,1,0,1,1,0,0,0,0,0,0,1,3,1,1,1,0,1,1,0
3,51,66.855591,8,48.20876822,0,1,0,0,0,0,0,1,1,1,2,3,1,2,2,0,1,1,0
3,52,19.96611028,6,54.74243172,1,0,1,1,0,0,0,0,1,0,2,3,1,1,1,0,1,1,0
3,53,60.59065975,9,32.28342434,0,0,1,1,1,1,1,0,1,0,2,3,1,2,2,0,1,1,0
3,54,12.60352786,10,74.8292457,0,0,1,0,0,0,0,0,0,0,2,3,1,1,1,0,1,1,0
3,55,93.4357086,7,13.2445702,0,1,0,0,0,1,1,0,1,1,2,3,1,2,2,0,1,1,0
3,56,92.09788271,15,7.64748573,0,0,0,1,1,1,1,1,0,0,3,3,1,2,2,0,1,1,0
3,57,87.58448291,11,45.87695377,0,0,0,0,0,1,0,1,1,1,3,3,1,2,2,0,1,1,0
3,58,93.79567535,14,46.8313429,0,0,0,0,0,1,0,1,0,0,3,3,1,2,2,0,1,1,0
3,59,23.29857382,12,83.87165709,1,1,1,0,0,0,0,1,0,1,3,3,1,1,1,0,1,1,0
3,60,87.53092688,13,3.142726627,0,0,1,1,0,1,0,0,0,0,3,3,1,1,1,0,0,0,0
3,61,55.12603252,5,10.47684649,0,1,0,1,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0
3,62,4.935450848,1,71.63624837,1,1,0,1,1,0,0,0,0,0,1,4,1,1,1,0,1,1,0
3,63,2.244380185,3,63.17289679,0,0,1,1,0,0,1,0,0,0,1,4,1,1,1,0,1,1,0
3,64,37.54377018,2,59.70076342,0,0,1,1,1,0,0,1,0,0,1,4,1,1,1,0,1,1,0
3,65,12.63523816,4,58.01481881,1,0,0,1,0,0,0,0,0,1,1,4,1,1,1,0,1,1,0
3,66,0.806916323,8,89.95134852,1,0,1,0,0,0,0,1,0,0,2,4,1,1,1,0,1,1,0
3,67,93.91593312,6,48.57838004,0,0,0,0,1,1,0,0,1,1,2,4,1,2,2,0,1,1,0
3,68,30.64722162,10,81.19544255,0,0,1,1,1,0,0,0,1,1,2,4,1,1,1,0,1,1,0
3,69,81.11380147,7,5.86135243,0,1,0,0,0,0,1,1,0,1,2,4,1,2,2,0,1,1,0
3,70,35.38971804,9,78.26394145,1,0,0,0,1,1,0,0,0,0,2,4,1,1,1,0,1,1,0
3,71,17.8988131,13,83.5086371,0,1,1,0,1,0,0,1,0,1,3,4,1,1,1,0,1,1,0
3,72,79.31741088,11,28.8354814,0,0,1,0,1,1,0,1,1,0,3,4,1,2,2,0,1,1,0
3,73,2.700081784,15,88.50864742,1,1,0,1,1,0,0,0,1,0,3,4,1,1,1,0,1,1,0
3,74,28.86557952,14,68.99403188,1,1,1,0,1,0,0,1,1,0,3,4,1,1,1,0,1,1,0
3,75,93.21564211,12,46.64311346,1,0,0,1,1,1,0,1,0,0,3,4,1,1,1,0,0,0,0
4,1,18.36984614,5,54.93013438,0,0,1,0,0,0,0,0,1,0,1,5,1,1,1,0,1,1,0
4,2,44.95939899,1,79.73820581,1,0,0,1,1,1,0,1,0,0,1,5,1,1,1,0,1,1,0
4,3,36.8968901,2,51.26408742,1,0,1,1,0,0,0,0,0,0,1,5,1,1,1,0,1,1,0
4,4,81.23393467,4,24.19977384,0,0,0,0,0,0,0,1,1,0,1,5,1,2,2,0,1,1,0
4,5,75.52583157,3,10.56955176,1,0,0,0,0,0,0,0,1,1,1,5,1,2,2,0,1,1,0
4,6,57.79692956,8,4.259146044,0,0,0,1,0,0,1,1,0,1,2,5,1,2,2,0,1,1,0
4,7,92.20569694,9,46.17360724,0,0,1,0,0,0,1,1,0,0,2,5,1,2,2,0,1,1,0
4,8,54.89616799,7,15.93842591,0,1,0,0,1,0,1,1,0,1,2,5,1,1,1,0,0,0,0
4,9,93.20683049,10,33.44315779,0,0,1,0,1,0,0,0,0,0,2,5,1,1,1,0,0,0,0
4,10,17.66266247,6,63.2252188,0,1,1,1,1,0,0,0,0,0,2,5,1,1,1,0,1,1,0
4,11,67.16392984,13,20.24424705,1,0,1,0,0,1,0,1,0,1,3,5,1,1,1,0,0,0,0
4,12,56.76902605,11,0.581961979,1,0,0,0,1,1,1,0,1,0,3,5,1,2,2,0,1,1,0
4,13,33.25043965,15,92.56099387,1,1,0,0,1,0,0,0,0,1,3,5,1,1,1,0,1,1,0
