Participant,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C5,D2C4,D2C3,D2C2,D2C1,CompSelected,Correct,Cue1Order,Cue2Order,Cue3Order,Cue4Order,Cue5Order,Cue1Sel,Cue2Sel,Cue3Sel,Cue4Sel,Cue5Sel,GetBonus,Ncues,order,,C1_NC2,NC1_C2,C1_C2,NC1_NC2,,C3_NC4,NC3_C4,C3_C4,NC3_NC4,,Sel_Either_Primacy,Sel_Either_Recency,,,C1 OR C2,C1_C2_NC3_NC4,C3 or C4,C3_C4_NC1_NC2,Sel_EitherLowHigh
3,27.84567143,39,89.03744896,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,3,1,1,0,0,1,1,0,3,3,,1,0,0,0,,0,1,0,0,,1,1,,,1,0,1,0,0
3,20.06996368,40,72.94527388,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,4,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,19.71738388,1,98.12167338,0,0,0,1,1,1,0,1,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,2,0,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,6.422805384,2,64.25661403,1,1,1,0,0,1,1,1,0,0,1,1,2,1,4,3,0,1,1,1,1,0,0,4,23,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,31.99114614,3,75.32361934,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,0,1,1,0,0,0,0,2,26,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,87.07863351,4,19.82344534,0,0,1,0,0,0,1,1,1,1,2,1,2,1,3,0,0,1,1,1,0,0,0,3,39,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,66.47028079,5,38.82827223,1,0,0,0,1,1,0,1,1,1,2,1,2,1,0,4,3,1,1,0,1,1,0,4,11,,0,0,1,0,,0,1,0,0,,1,0,,,1,0,1,0,0
4,46.98169927,6,51.17055154,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,27,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,63.49409476,7,30.5458721,0,0,1,0,0,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,36,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,75.83477434,8,18.91588174,1,0,0,0,0,1,1,0,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,31,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,66.26256017,9,45.30757648,0,1,1,1,0,1,1,0,1,0,1,0,2,1,3,0,0,1,1,1,0,0,0,3,2,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,95.3134629,10,37.73740774,0,0,0,0,1,1,1,1,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,21,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,34.2126332,11,94.49902277,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,1,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,21.03649425,12,63.62186498,1,1,1,1,1,0,0,0,0,0,1,1,2,1,3,0,0,1,1,1,0,0,0,3,25,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,17.66223335,13,57.48817567,1,0,0,0,0,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,0,5,8,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,99.33369891,14,48.11085936,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,2,32,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,8.560522736,15,76.02712948,1,1,1,1,1,0,1,0,0,0,1,1,2,1,4,3,0,1,1,1,1,0,0,4,35,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,58.96255551,16,25.26279992,1,0,0,1,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,19,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,78.60372564,17,32.01153732,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,9,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,64.86879171,18,32.39929734,0,1,1,1,0,1,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,5,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,6.190874928,19,97.16931153,0,0,1,0,1,1,1,1,0,0,2,0,2,1,3,0,0,1,1,1,0,0,0,3,24,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,87.46995169,20,3.319445531,0,1,0,0,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,15,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,91.90818598,21,46.7354112,1,0,1,0,0,1,1,1,1,1,2,1,2,1,4,3,0,1,1,1,1,0,0,4,12,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,31.25168103,22,78.35494451,1,1,1,0,1,0,1,0,1,0,1,1,2,1,4,3,0,1,1,1,1,0,0,4,30,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,3.1378457,23,64.27437014,0,0,1,1,1,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,20,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,54.97625065,24,22.11879515,0,0,1,0,1,0,1,0,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,17,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,64.20389712,25,18.15611745,0,0,0,1,1,0,1,1,1,1,2,1,2,1,3,0,0,1,1,1,0,0,0,3,29,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,41.8159545,26,63.81597126,1,1,0,0,1,0,0,0,0,0,1,1,2,1,4,3,0,1,1,1,1,0,0,4,22,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,74.82918167,27,17.68614542,0,0,1,0,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,5,38,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,8.488629571,28,80.8740411,0,1,1,1,0,1,0,0,0,0,1,1,2,1,3,0,0,1,1,1,0,0,0,3,6,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,79.59769106,29,40.54868495,0,0,1,0,0,1,1,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,37,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,12.57185219,30,73.66181676,1,0,0,1,1,1,0,0,0,0,1,1,2,1,4,3,0,1,1,1,1,0,0,4,34,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,82.11471328,31,26.22465474,0,0,0,0,1,0,1,0,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,14,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,32.87367097,32,69.96791427,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,16,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,80.71779556,33,18.63840953,1,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,13,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,11.08833716,34,52.8690623,0,1,0,1,1,1,1,0,0,0,1,1,2,1,3,0,0,1,1,1,0,0,0,3,28,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
4,62.48775884,35,7.32104199,0,0,1,0,1,0,1,0,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,4,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
4,20.73636391,36,65.45077794,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,33,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,93.30163494,37,36.47929665,1,1,0,0,0,1,1,0,1,1,2,1,2,1,4,3,0,1,1,1,1,0,0,4,10,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,91.23633869,38,35.8745515,0,0,0,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,3,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
4,27.84567143,39,89.03744896,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,18,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
4,20.06996368,40,72.94527388,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,7,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,19.71738388,1,98.12167338,0,0,0,1,1,1,0,1,0,0,2,0,0,1,2,0,0,0,1,1,0,0,0,2,4,,0,1,0,0,,1,0,0,0,,1,1,,,1,0,1,0,0
5,6.422805384,2,64.25661403,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,36,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,31.99114614,3,75.32361934,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,33,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,87.07863351,4,19.82344534,0,0,1,0,0,0,1,1,1,1,2,1,1,2,3,4,0,1,1,1,1,0,0,4,19,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,66.47028079,5,38.82827223,1,0,0,0,1,1,0,1,1,1,2,1,1,2,3,0,0,1,1,1,0,0,0,3,27,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,46.98169927,6,51.17055154,0,1,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,21,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,63.49409476,7,30.5458721,0,0,1,0,0,1,0,1,0,1,2,1,1,2,3,4,0,1,1,1,1,0,0,4,28,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,75.83477434,8,18.91588174,1,0,0,0,0,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,30,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,66.26256017,9,45.30757648,0,1,1,1,0,1,1,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,38,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,95.3134629,10,37.73740774,0,0,0,0,1,1,1,1,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,12,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,34.2126332,11,94.49902277,1,0,1,1,1,1,1,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,2,6,,0,1,0,0,,1,0,0,0,,1,1,,,1,0,1,0,0
5,21.03649425,12,63.62186498,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,0,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,17.66223335,13,57.48817567,1,0,0,0,0,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,0,5,39,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,99.33369891,14,48.11085936,0,0,0,0,0,0,1,1,0,0,2,1,1,3,2,0,0,1,1,1,0,0,0,3,2,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,8.560522736,15,76.02712948,1,1,1,1,1,0,1,0,0,0,1,1,1,2,0,0,0,1,1,0,0,0,0,2,20,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
5,58.96255551,16,25.26279992,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,18,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,78.60372564,17,32.01153732,0,0,0,1,0,0,0,1,1,1,2,1,1,2,3,0,0,1,1,1,0,0,0,3,17,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,64.86879171,18,32.39929734,0,1,1,1,0,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,25,,0,0,0,1,,0,0,0,1,,0,0,,,0,0,0,0,0
5,6.190874928,19,97.16931153,0,0,1,0,1,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,0,5,8,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,87.46995169,20,3.319445531,0,1,0,0,1,1,0,0,0,1,1,0,1,2,3,4,0,1,1,1,1,0,0,4,24,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,91.90818598,21,46.7354112,1,0,1,0,0,1,1,1,1,1,2,1,1,2,0,0,0,1,1,0,0,0,0,2,16,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
5,31.25168103,22,78.35494451,1,1,1,0,1,0,1,0,1,0,1,1,1,2,3,4,0,1,1,1,1,0,0,4,11,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,3.1378457,23,64.27437014,0,0,1,1,1,0,1,0,1,0,2,0,1,2,0,0,0,1,1,0,0,0,0,2,35,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
5,54.97625065,24,22.11879515,0,0,1,0,1,0,1,0,1,1,2,1,1,2,3,0,0,1,1,1,0,0,0,3,31,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,64.20389712,25,18.15611745,0,0,0,1,1,0,1,1,1,1,2,1,1,2,0,0,0,1,1,0,0,0,0,2,13,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
5,41.8159545,26,63.81597126,1,1,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,1,0,0,0,0,2,29,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
5,74.82918167,27,17.68614542,0,0,1,0,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,5,14,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,8.488629571,28,80.8740411,0,1,1,1,0,1,0,0,0,0,1,1,0,2,1,3,0,0,1,1,1,0,0,3,5,,0,1,0,0,,0,0,1,0,,0,1,,,1,0,1,0,0
5,79.59769106,29,40.54868495,0,0,1,0,0,1,1,0,0,1,2,1,1,2,3,4,0,1,1,1,1,0,0,4,10,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,12.57185219,30,73.66181676,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,37,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,82.11471328,31,26.22465474,0,0,0,0,1,0,1,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,22,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,32.87367097,32,69.96791427,1,1,1,0,1,1,0,0,0,0,1,1,1,2,3,4,0,1,1,1,1,0,0,4,26,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,80.71779556,33,18.63840953,1,0,0,1,0,0,0,0,1,1,2,1,3,2,1,0,0,1,1,1,0,0,0,3,7,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,11.08833716,34,52.8690623,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,9,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
5,62.48775884,35,7.32104199,0,0,1,0,1,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,34,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,20.73636391,36,65.45077794,1,1,1,1,0,1,1,0,0,0,1,1,4,1,2,3,0,1,1,1,1,0,0,4,15,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
5,93.30163494,37,36.47929665,1,1,0,0,0,1,1,0,1,1,2,1,1,2,0,0,0,1,1,0,0,0,0,2,32,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
5,91.23633869,38,35.8745515,0,0,0,0,1,0,1,1,0,1,2,1,1,2,3,0,0,1,1,1,0,0,0,3,1,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,27.84567143,39,89.03744896,1,0,0,0,0,0,0,1,0,0,1,1,1,2,3,0,0,1,1,1,0,0,0,3,23,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
5,20.06996368,40,72.94527388,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,3,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,19.71738388,1,98.12167338,0,0,0,1,1,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,12,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,6.422805384,2,64.25661403,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,31.99114614,3,75.32361934,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,15,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,87.07863351,4,19.82344534,0,0,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,27,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,66.47028079,5,38.82827223,1,0,0,0,1,1,0,1,1,1,2,1,3,1,2,0,4,1,1,1,0,1,0,4,17,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,46.98169927,6,51.17055154,0,1,1,0,1,0,0,0,0,1,1,1,3,1,2,0,4,1,1,1,0,1,0,4,31,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,63.49409476,7,30.5458721,0,0,1,0,0,1,0,1,0,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,4,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,75.83477434,8,18.91588174,1,0,0,0,0,1,1,0,1,1,2,1,1,2,0,0,0,1,1,0,0,0,0,2,21,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,66.26256017,9,45.30757648,0,1,1,1,0,1,1,0,1,0,2,1,2,1,0,3,0,1,1,0,1,0,0,3,1,,0,0,1,0,,0,1,0,0,,1,0,,,1,0,1,0,0
6,95.3134629,10,37.73740774,0,0,0,0,1,1,1,1,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,2,39,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,34.2126332,11,94.49902277,1,0,1,1,1,1,1,0,0,0,1,1,3,1,2,0,4,1,1,1,0,1,0,4,25,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,21.03649425,12,63.62186498,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,13,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,17.66223335,13,57.48817567,1,0,0,0,0,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,0,5,23,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,99.33369891,14,48.11085936,0,0,0,0,0,0,1,1,0,0,2,1,2,1,0,4,3,1,1,0,1,1,0,4,3,,0,0,1,0,,0,1,0,0,,1,0,,,1,0,1,0,0
6,8.560522736,15,76.02712948,1,1,1,1,1,0,1,0,0,0,1,1,2,1,0,0,3,1,1,0,0,1,0,3,9,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,58.96255551,16,25.26279992,1,0,0,1,0,0,1,1,1,0,2,1,3,1,2,0,4,1,1,1,0,1,0,4,37,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,78.60372564,17,32.01153732,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,38,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,64.86879171,18,32.39929734,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,10,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,6.190874928,19,97.16931153,0,0,1,0,1,1,1,1,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,2,24,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,87.46995169,20,3.319445531,0,1,0,0,1,1,0,0,0,1,1,0,1,2,3,0,4,1,1,1,0,1,0,4,20,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,91.90818598,21,46.7354112,1,0,1,0,0,1,1,1,1,1,2,1,3,1,2,4,0,1,1,1,1,0,0,4,28,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,31.25168103,22,78.35494451,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,29,,0,1,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,3.1378457,23,64.27437014,0,0,1,1,1,0,1,0,1,0,2,0,2,1,0,0,3,1,1,0,0,1,0,3,0,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,54.97625065,24,22.11879515,0,0,1,0,1,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,32,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,64.20389712,25,18.15611745,0,0,0,1,1,0,1,1,1,1,2,1,1,3,0,0,2,1,1,0,0,1,0,3,5,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,41.8159545,26,63.81597126,1,1,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,2,16,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,74.82918167,27,17.68614542,0,0,1,0,1,0,0,1,1,0,2,1,2,1,0,0,0,1,1,0,0,0,0,2,2,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,8.488629571,28,80.8740411,0,1,1,1,0,1,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,2,7,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,79.59769106,29,40.54868495,0,0,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,35,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,12.57185219,30,73.66181676,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,22,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,82.11471328,31,26.22465474,0,0,0,0,1,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,14,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,32.87367097,32,69.96791427,1,1,1,0,1,1,0,0,0,0,1,1,1,2,0,3,0,1,1,0,1,0,0,3,26,,0,0,1,0,,0,1,0,0,,1,0,,,1,0,1,0,0
6,80.71779556,33,18.63840953,1,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,30,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
6,11.08833716,34,52.8690623,0,1,0,1,1,1,1,0,0,0,1,1,3,1,2,0,0,1,1,1,0,0,0,3,19,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,62.48775884,35,7.32104199,0,0,1,0,1,0,1,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,34,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,20.73636391,36,65.45077794,1,1,1,1,0,1,1,0,0,0,1,1,1,2,0,0,0,1,1,0,0,0,0,2,6,,0,0,1,0,,0,0,0,1,,0,0,,,1,1,0,0,1
6,93.30163494,37,36.47929665,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,8,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
6,91.23633869,38,35.8745515,0,0,0,0,1,0,1,1,0,1,2,1,1,2,3,0,4,1,1,1,0,1,0,4,36,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,27.84567143,39,89.03744896,1,0,0,0,0,0,0,1,0,0,1,1,3,1,2,0,0,1,1,1,0,0,0,3,33,,0,0,1,0,,1,0,0,0,,1,0,,,1,0,1,0,0
6,20.06996368,40,72.94527388,0,1,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,18,,1,0,0,0,,0,0,0,1,,0,1,,,1,1,0,0,1
7,19.71738388,1,98.12167338,0,0,0,1,1,1,0,1,0,0,1,1,0,3,1,2,4,0,1,1,1,1,0,4,5,,0,1,0,0,,0,0,1,0,,0,1,,,1,0,1,0,0
7,6.422805384,2,64.25661403,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,2,36,,0,0,0,1,,1,0,0,0,,1,0,,,0,0,1,1,1
7,31.99114614,3,75.32361934,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,3,2,0,0,1,1,1,0,3,4,,0,0,0,1,,0,0,1,0,,0,0,,,0,0,1,1,1
7,87.07863351,4,19.82344534,0,0,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,38,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
7,66.47028079,5,38.82827223,1,0,0,0,1,1,0,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,39,,0,0,0,1,,1,0,0,0,,1,0,,,0,0,1,1,1
7,46.98169927,6,51.17055154,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,16,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
7,63.49409476,7,30.5458721,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,29,,0,0,0,1,,1,0,0,0,,1,0,,,0,0,1,1,1
7,75.83477434,8,18.91588174,1,0,0,0,0,1,1,0,1,1,2,1,0,0,1,0,2,0,0,1,0,1,0,2,3,,0,0,0,1,,1,0,0,0,,1,0,,,0,0,1,1,1
7,66.26256017,9,45.30757648,0,1,1,1,0,1,1,0,1,0,1,0,2,4,1,3,0,1,1,1,1,0,0,4,24,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
7,95.3134629,10,37.73740774,0,0,0,0,1,1,1,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,37,,0,0,0,1,,1,0,0,0,,1,0,,,0,0,1,1,1
7,34.2126332,11,94.49902277,1,0,1,1,1,1,1,0,0,0,1,1,2,0,1,3,0,1,0,1,1,0,0,3,25,,1,0,0,0,,0,0,1,0,,0,1,,,1,0,1,0,0
7,21.03649425,12,63.62186498,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,22,,0,0,0,1,,1,0,0,0,,1,0,,,0,0,1,1,1
7,17.66223335,13,57.48817567,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,18,,0,0,1,0,,0,0,1,0,,0,0,,,1,0,1,0,0
